,rmse,mean,median,std,min,max,sse
GaussNewtonOptimizer,3.0711108268930247,2.72254220949236,2.375119052581916,1.4210860736042752,0.2947144393141758,25.412969133989332,13364.749664571395
GNC+LM,1.213195976552203,1.1023093731024876,1.0793029795744042,0.506713453041119,0.003372187984169286,2.6679880501051563,2085.6036246493168
LevenbergMarquardt,8.670956800573219,8.567888139383427,8.482724237230482,1.332960865299397,5.477738003827282,16.64726867978446,106537.84193360564
